rank,yearRank,candidateRank,year,title,authors,venue,publicationDate,citationCount,influentialCitationCount,importanceScore,category,methodTags,keywordTags,keyIdea,strengths,limitations,url,semanticScholarUrl,openAccessPdf,githubUrl,doi,arxiv,pubmed,corpusId,fieldsOfStudy,publicationTypes,sourceQueries,queryHitCount,importanceReasons,abstract
3,1,1,2002,Illiquidity and Stock Returns: Cross-Section and Time-Series Effects,Y. Amihud,,,5951,1224,297.762,Asset Pricing and Return Predictability,asset-pricing,asset-pricing,Positions Illiquidity and Stock Returns: Cross-Section and Time-Series Effects within Asset Pricing and Return Predictability.,"high citation signal (5,951); influential citation signal (1,224); open-access PDF metadata","Return predictability can disappear after transaction costs, crowding, and multiple-testing correction.; Citation impact can favor well-known anomalies even when live performance later weakens.; Metadata cannot verify whether data-snooping controls were adequate.",https://doi.org/10.1016/S1386-4181(01)00024-6,https://www.semanticscholar.org/paper/17b39b9b9592eefcf3450d2105b66cc0da1a7bb9,http://archive.nyu.edu/bitstream/2451/26706/2/FIN-00-041.pdf,,10.1016/S1386-4181(01)00024-6,,,265303004,Economics,,stock returns,1,citations=5951; influential=1224; open PDF metadata; title trade matches=2; trade term matches=2,
6,2,2,2002,"No Contagion, Only Interdependence: Measuring Stock Market Comovements","Kristin Forbes, R. Rigobon",,2002-10-01,4552,505,276.489,"General Finance, Surveys, and Trading Systems",metadata-ranked,stock-prediction,"Positions No Contagion, Only Interdependence: Measuring Stock Market Comovements within General Finance, Surveys, and Trading Systems.","high citation signal (4,552); influential citation signal (505); open-access PDF metadata","Surveys and systems can dominate citations while empirical evidence remains mixed across markets.; Broad claims need careful mapping to data, costs, and investment horizons.; Metadata-driven ranking cannot replace expert reading of full papers and backtests.",https://doi.org/10.1111/0022-1082.00494,https://www.semanticscholar.org/paper/c23dd3b06abbd05c4bfc5116d368a6aab9ccfae4,http://papers.nber.org/papers/w7267.pdf,,10.1111/0022-1082.00494,,,158071200,Economics,,stock returns,1,citations=4552; influential=505; open PDF metadata; title trade matches=1; trade term matches=1,
30,3,3,2002,Differences of Opinion and the Cross Section of Stock Returns,"Karl B. Diether, C. Malloy, Anna Scherbina",,2002-10-01,1972,152,246.347,Asset Pricing and Return Predictability,metadata-ranked,asset-pricing,Positions Differences of Opinion and the Cross Section of Stock Returns within Asset Pricing and Return Predictability.,"high citation signal (1,972); influential citation signal (152)","Return predictability can disappear after transaction costs, crowding, and multiple-testing correction.; Citation impact can favor well-known anomalies even when live performance later weakens.; Metadata cannot verify whether data-snooping controls were adequate.",https://doi.org/10.1111/0022-1082.00490,https://www.semanticscholar.org/paper/c27021c0520fad128c2cf6136acdca23c0ff0498,,,10.1111/0022-1082.00490,,,2789417,Business; Economics,,analyst forecasts stock returns; stock returns,2,citations=1972; influential=152; open PDF metadata; title trade matches=2; trade term matches=2; query hits=2,
81,4,8,2002,Breadth of Ownership and Stock Returns,"Joseph Chen, Harrison G. Hong, Jeremy C. Stein",,2002-11-01,1109,75,225.897,Asset Pricing and Return Predictability,metadata-ranked,asset-pricing,Positions Breadth of Ownership and Stock Returns within Asset Pricing and Return Predictability.,"high citation signal (1,109); influential citation signal (75); open-access PDF metadata","Return predictability can disappear after transaction costs, crowding, and multiple-testing correction.; Citation impact can favor well-known anomalies even when live performance later weakens.; Metadata cannot verify whether data-snooping controls were adequate.",https://doi.org/10.1016/S0304-405X(02)00223-4,https://www.semanticscholar.org/paper/297e6ca862d9f424f2871560b9d4b5adad01871e,http://www.nber.org/papers/w8151.pdf,,10.1016/S0304-405X(02)00223-4,,,7860463,Business; Economics,,momentum investing stock market; stock market prediction; stock price prediction; stock returns,4,citations=1109; influential=75; open PDF metadata; title trade matches=2; trade term matches=2; query hits=4,
88,5,9,2002,"CAPITAL MARKET IMPERFECTIONS, HIGH-TECH INVESTMENT, AND NEW EQUITY FINANCING","Robert E. Carpenter, Bruce C. Petersen",,2002-11-19,1038,59,214.133,"General Finance, Surveys, and Trading Systems",metadata-ranked,stock-prediction,"Positions CAPITAL MARKET IMPERFECTIONS, HIGH-TECH INVESTMENT, AND NEW EQUITY FINANCING within General Finance, Surveys, and Trading Systems.","high citation signal (1,038); influential citation signal (59); open-access PDF metadata","Surveys and systems can dominate citations while empirical evidence remains mixed across markets.; Broad claims need careful mapping to data, costs, and investment horizons.; Metadata-driven ranking cannot replace expert reading of full papers and backtests.",https://doi.org/10.1111/1468-0297.00683,https://www.semanticscholar.org/paper/cdb0258af787c4fc3bb1c54908f17ebc7e50316d,http://ecoxs02.eco.unipmn.it/eventi/innovarepercompetere/carpenter-petersen-cm.pdf,,10.1111/1468-0297.00683,,,36170279,Business; Economics,,capital markets investment,1,citations=1038; influential=59; open PDF metadata; title trade matches=1; trade term matches=1,
89,6,10,2002,What Drives Firm-Level Stock Returns?,Tuomo Vuolteenaho,,2002-02-01,1035,118,226.656,Asset Pricing and Return Predictability,metadata-ranked,asset-pricing,Positions What Drives Firm-Level Stock Returns? within Asset Pricing and Return Predictability.,"high citation signal (1,035); influential citation signal (118); open-access PDF metadata","Return predictability can disappear after transaction costs, crowding, and multiple-testing correction.; Citation impact can favor well-known anomalies even when live performance later weakens.; Metadata cannot verify whether data-snooping controls were adequate.",https://doi.org/10.2139/SSRN.190812,https://www.semanticscholar.org/paper/a94ef36474ff430d32c975c5c4bde211e87722e6,https://doi.org/10.3386/w8240,,10.2139/SSRN.190812,,,16133175,Economics,,stock returns,1,citations=1035; influential=118; open PDF metadata; title trade matches=2; trade term matches=2,
109,7,11,2002,The 1990s in Japan: A Lost Decade,"Fumio Hayashi, Edward C. Prescott",,,916,99,217.537,Reinforcement Learning and Algorithmic Trading,reinforcement-learning,reinforcement-trading,"This paper examines the Japanese economy in the 1990s, a decade of economic stagnation.",high citation signal (916); influential citation signal (99); open-access PDF metadata,"Simulated rewards can diverge from executable trading under slippage, latency, and market impact.; Policies can be brittle during regime shifts or stress periods.; Backtest-only evidence needs live or paper-trading validation.",https://doi.org/10.1006/REDY.2001.0149,https://www.semanticscholar.org/paper/77f56dc93dbbb0cda246dfb69f3cdbff852ad570,http://researchdatabase.minneapolisfed.org/downloads/v979v324z,,10.1006/REDY.2001.0149,,,53138432,Economics,,capital markets investment,1,citations=916; influential=99; open PDF metadata; trade term matches=2,"This paper examines the Japanese economy in the 1990s, a decade of economic stagnation. We find that the problem is not a breakdown of the financial system, as corporations large and small were able to find financing for investments. There is no evidence of profitabkle investment opportunities not being exploited due to lack of access to capital markets. The problem then and still today is a low productivity growth rate. Growth theory, treating TFP as exogenous, accounts well for the Japanese lost decade of growth. We think that research effort should be focused on what policy change will allow productivity to again grow rapidly. (Copyright: Elsevier)"
115,8,12,2002,Macroeconomic Factors Do Influence Aggregate Stock Returns,"Mark J. Flannery, A. Protopapadakis",,2002-04-01,909,59,216.217,Asset Pricing and Return Predictability,metadata-ranked,asset-pricing,Positions Macroeconomic Factors Do Influence Aggregate Stock Returns within Asset Pricing and Return Predictability.,high citation signal (909); influential citation signal (59),"Return predictability can disappear after transaction costs, crowding, and multiple-testing correction.; Citation impact can favor well-known anomalies even when live performance later weakens.; Metadata cannot verify whether data-snooping controls were adequate.",https://doi.org/10.2139/SSRN.314261,https://www.semanticscholar.org/paper/fc2bf162019de8ccb57d8ee5e4ab2b84263f8a72,,,10.2139/SSRN.314261,,,15993354,Economics; Geology,,equity factor models; equity returns,2,citations=909; influential=59; open PDF metadata; title trade matches=2; trade term matches=2; query hits=2,
131,9,13,2002,Global Microstructures: The Virtual Societies of Financial Markets1,"K. Knorr Cetina, Urs Bruegger",American Journal of Sociology,2002-01-01,862,67,214.802,"General Finance, Surveys, and Trading Systems",metadata-ranked,stock-prediction,"Positions Global Microstructures: The Virtual Societies of Financial Markets1 within General Finance, Surveys, and Trading Systems.",high citation signal (862); influential citation signal (67),"Surveys and systems can dominate citations while empirical evidence remains mixed across markets.; Broad claims need careful mapping to data, costs, and investment horizons.; Metadata-driven ranking cannot replace expert reading of full papers and backtests.",https://doi.org/10.1086/341045,https://www.semanticscholar.org/paper/8bcd4781606f80073c9d851433a520a58e263fbc,,,10.1086/341045,,,13742201,Business; Economics; Sociology,,market microstructure trading,1,citations=862; influential=67; open PDF metadata; title trade matches=2; trade term matches=2,
141,10,14,2002,"Book‐to‐Market Equity, Distress Risk, and Stock Returns","J. Griffin, M. Lemmon",,2002-10-01,839,63,222.359,"Risk, Volatility, and Forecast Evaluation",risk/volatility,risk-volatility,"Positions Book‐to‐Market Equity, Distress Risk, and Stock Returns within Risk, Volatility, and Forecast Evaluation.",high citation signal (839); influential citation signal (63),Risk forecasts can fail under regime breaks and extreme events.; Choice of loss function strongly affects model rankings.; Citation counts do not prove suitability for a specific mandate or risk budget.,https://doi.org/10.1111/1540-6261.00497,https://www.semanticscholar.org/paper/0a76dc44a337b665c21628c0a146fc3819820725,,,10.1111/1540-6261.00497,,,59428974,Business; Economics,,earnings announcements stock returns; equity factor models; equity returns; securities market,4,citations=839; influential=63; investment validation signal; open PDF metadata; title trade matches=2; trade term matches=2; query hits=4,
