rank,yearRank,candidateRank,year,title,authors,venue,publicationDate,citationCount,influentialCitationCount,importanceScore,category,methodTags,keywordTags,keyIdea,strengths,limitations,url,semanticScholarUrl,openAccessPdf,githubUrl,doi,arxiv,pubmed,corpusId,fieldsOfStudy,publicationTypes,sourceQueries,queryHitCount,importanceReasons,abstract
10,1,1,2022,FlashAttention: Fast and Memory-Efficient Exact Attention with IO-Awareness,"Tri Dao, Daniel Y. Fu, Stefano Ermon, A. Rudra, Christopher R'e",Neural Information Processing Systems,2022-05-27,4540,403,276.28,Deep Learning and Financial Time Series,deep-learning,deep-learning; behavioral-finance,"Transformers are slow and memory-hungry on long sequences, since the time and memory complexity of self-attention are quadratic in sequence length.","high citation signal (4,540); influential citation signal (403)","Deep models can overfit noisy, nonstationary, and low signal-to-noise market data.; Compute-heavy models may be hard to reproduce without code and data access.; Reported gains need robustness checks across regimes and markets.",https://doi.org/10.52202/068431-1189,https://www.semanticscholar.org/paper/87c5b281fa43e6f27191b20a8dd694eda1126336,,,10.52202/068431-1189,2205.14135,,249151871,Computer Science,JournalArticle,algorithmic trading,1,citations=4540; influential=403; AI/ML method signal; open PDF metadata; trade term matches=2,"Transformers are slow and memory-hungry on long sequences, since the time and memory complexity of self-attention are quadratic in sequence length. Approximate attention methods have attempted to address this problem by trading off model quality to reduce the compute complexity, but often do not achieve wall-clock speedup. We argue that a missing principle is making attention algorithms IO-aware -- accounting for reads and writes between levels of GPU memory. We propose FlashAttention, an IO-aware exact attention algorithm that uses tiling to reduce the number of memory reads/writes between GPU high bandwidth memory (HBM) and GPU on-chip SRAM. We analyze the IO complexity of FlashAttention, showing that it requires fewer HBM accesses than standard attention, and is optimal for a range of SRAM sizes. We also extend FlashAttention to block-sparse attention, yielding an approximate attention algorithm that is faster than any existing approximate attention method. FlashAttention trains Transformers faster than existing baselines: 15% end-to-end wall-clock speedup on BERT-large (seq. length 512) compared to the MLPerf 1.1 training speed record, 3$\times$ speedup on GPT-2 (seq. length 1K), and 2.4$\times$ speedup on long-range arena (seq. length 1K-4K). FlashAttention and block-sparse FlashAttention enable longer context in Transformers, yielding higher quality models (0.7 better perplexity on GPT-2 and 6.4 points of lift on long-document classification) and entirely new capabilities: the first Transformers to achieve better-than-chance performance on the Path-X challenge (seq. length 16K, 61.4% accuracy) and Path-256 (seq. length 64K, 63.1% accuracy)."
334,2,2,2022,"Memristive technologies for data storage, computation, encryption, and radio-frequency communication","M. Lanza, A. Sebastian, W. Lu, M. Le Gallo, M. Chang, D. Akinwande, F. Puglisi, H. Alshareef, et al.",Science,2022-06-03,597,8,182.42,"General Finance, Surveys, and Trading Systems",survey/review; deep-learning,stock-prediction,"Memristive devices, which combine a resistor with memory functions such that voltage pulses can change their resistance (and hence their memory state) in a nonvolatile manner, are beginning to be implemented in integrated circuits for memory applications.",high citation signal (597); open-access PDF metadata,"Surveys and systems can dominate citations while empirical evidence remains mixed across markets.; Broad claims need careful mapping to data, costs, and investment horizons.; Metadata-driven ranking cannot replace expert reading of full papers and backtests.",https://doi.org/10.1126/science.abj9979,https://www.semanticscholar.org/paper/182acc7a1c9a63cfdef9f86ee9df43fd75e05060,https://www.science.org/doi/pdf/10.1126/science.abj9979?download=true,,10.1126/science.abj9979,,35653464,249313024,Computer Science; Engineering; Medicine,Review; JournalArticle,securities market,1,citations=597; influential=8; survey/benchmark signal; AI/ML method signal; open PDF metadata; trade term matches=1,"Memristive devices, which combine a resistor with memory functions such that voltage pulses can change their resistance (and hence their memory state) in a nonvolatile manner, are beginning to be implemented in integrated circuits for memory applications. However, memristive devices could have applications in many other technologies, such as non–von Neumann in-memory computing in crossbar arrays, random number generation for data security, and radio-frequency switches for mobile communications. Progress toward the integration of memristive devices in commercial solid-state electronic circuits and other potential applications will depend on performance and reliability challenges that still need to be addressed, as described here. Description Putting memristors to work Memristors, which are resistors that change conductivity and act as memories, are not only being used in commercial computing but have several application areas in computing and communications. Lanza et al. review how devices such as phase-change memories, resistive random-access memories, and magnetoresistive random-access memories are being integrated into silicon electronics. Memristors also are finding use in artificial intelligence when integrated in three-dimensional crossbar arrays for low-power, non–von Neuman architectures. Other applications include random-number generation for data encryption and radiofrequency switches for mobile communications. —PDS A review explains how resistors with memory functions are being integrated into electronics and new computer architectures. BACKGROUND Memristive devices exhibit an electrical resistance that can be adjusted to two or more nonvolatile levels by applying electrical stresses. The core of the most advanced memristive devices is a metal/insulator/metal nanocell made of phase-change, metal-oxide, magnetic, or ferroelectric materials, which is often placed in series with other circuit elements (resistor, selector, transistor) to enhance their performance in array configurations (i.e., avoid damage during state transition, minimize intercell disturbance). The memristive effect was discovered in 1969 and the first commercial product appeared in 2006, consisting of a 4-megabit nonvolatile memory based on magnetic materials. In the past few years, the switching endurance, data retention time, energy consumption, switching time, integration density, and price of memristive nonvolatile memories has been remarkably improved (depending on the materials used, values up to ~1015 cycles, >10 years, ~0.1 pJ, ~10 ns, 256 gigabits per die, and ≤$0.30 per gigabit have been achieved). ADVANCES As of 2021, memristive memories are being used as standalone memory and are also embedded in application-specific integrated circuits for the Internet of Things (smart watches and glasses, medical equipment, computers), and their market value exceeds $621 million. Recent studies have shown that memristive devices may also be exploited for advanced computation, data security, and mobile communication. Advanced computation refers to the hardware implementation of artificial neural networks by exploiting memristive attributes such as progressive conductance increase and decrease, vector matrix multiplication (in crossbar arrays), and spike timing–dependent plasticity; state-of-the-art developments have achieved >10 trillion operations per second per watt. Data encryption can be realized by exploiting the stochasticity inherent in the memristive effect, which manifests as random fluctuations (within a given range) of the switching voltages/times and state currents. For example, true random number generator and physical unclonable functions produce random codes when exposing a population of memristive devices to an electrical stress at 50% of switching probability (it is impossible to predict which devices will switch because that depends on their atomic structure). Mobile communication can also benefit from memristive devices because they could be employed as 5G and terahertz switches with low energy consumption owing to the nonvolatile nature of the resistive states; the current commercial technology is based on silicon transistors, but they are volatile and consume data both during switching and when idle. State-of-the-art developments have achieved cutoff frequencies of >100 THz with excellent insertion loss and isolation. OUTLOOK Consolidating memristive memories in the market and creating new commercial memristive technologies requires further enhancement of their performance, integration density, and cost, which may be achieved via materials and structure engineering. Market forecasts expect the memristive memories market to grow up to ~$5.6 billion by 2026, which will represent ~2% of the nearly $280 billion memory market. Phase-change and metal-oxide memristive memories should improve switching endurance and reduce energy consumption and variability, and the magnetic ones should offer improved integration density. Ferroelectric memristive memories still suffer low switching endurance, which is hindering commercialization. The figures of merit of memristive devices for advanced computation highly depend on the application, but maximizing endurance, retention, and conductance range while minimizing temporal conductance fluctuations are general goals. Memristive devices for data encryption and mobile communication require higher switching endurance, and two-dimensional materials prototypes are being investigated. Part of Science’s coverage of the 75th anniversary of the discovery of the transistor Fundamental memristive effects and their applications. Memristive devices, in which electrical resistance can be adjusted to two or more nonvolatile levels, can be fabricated using different materials (top row). This allows adjusting their performance to fulfill the requirements of different technologies. Memristive memories are a reality, and important progress is being achieved in advanced computation, security systems, and mobile communication (bottom row)."
408,3,3,2022,Stock price reactions to ESG news: the role of ESG ratings and disagreement,"G. Serafeim, Aaron S. Yoon",Review of accounting studies,2022-03-10,525,12,182.746,"Sentiment, News, and Alternative Data",survey/review; sentiment/text,stock-prediction; sentiment-altdata,"Positions Stock price reactions to ESG news: the role of ESG ratings and disagreement within Sentiment, News, and Alternative Data.",high citation signal (525); influential citation signal (12),Timestamp alignment and look-ahead bias are critical for text and alternative-data studies.; Sentiment signals can decay quickly as information becomes crowded.; Data licensing and coverage bias can limit reproducibility.,https://doi.org/10.1007/s11142-022-09675-3,https://www.semanticscholar.org/paper/e6c409e8c82b4eaa58f7fa4c560be88d2d40c5b3,,,10.1007/s11142-022-09675-3,,,233766117,Business; Economics; Environmental Science,,stock returns,1,citations=525; influential=12; survey/benchmark signal; open PDF metadata; title trade matches=1; trade term matches=1,
468,4,4,2022,The impact of the Ukraine–Russia war on world stock market returns,"W. Boungou, Alhonita Yatié",Economics Letters,2022-04-01,479,11,174.612,"General Finance, Surveys, and Trading Systems",metadata-ranked,stock-prediction,"Positions The impact of the Ukraine–Russia war on world stock market returns within General Finance, Surveys, and Trading Systems.",high citation signal (479); influential citation signal (11); open-access PDF metadata,"Surveys and systems can dominate citations while empirical evidence remains mixed across markets.; Broad claims need careful mapping to data, costs, and investment horizons.; Metadata-driven ranking cannot replace expert reading of full papers and backtests.",https://doi.org/10.1016/j.econlet.2022.110516,https://www.semanticscholar.org/paper/15fa4de0555465a71ebf6bb861f6541ea27ed531,https://hal.archives-ouvertes.fr/hal-03675532/file/BSE_EL_Boungou_2022.pdf,,10.1016/j.econlet.2022.110516,,,248338649,Economics; Political Science,,stock returns,1,citations=479; influential=11; open PDF metadata; title trade matches=1; trade term matches=1,
501,5,5,2022,Machine learning techniques and data for stock market forecasting: A literature review,"Mahinda Mailagaha Kumbure, Christoph Lohrmann, P. Luukka, J. Porras",Expert systems with applications,2022-02-01,456,12,199.652,Machine Learning for Stock Prediction,survey/review; machine-learning,stock-prediction; machine-learning; ai-based-trade,Positions Machine learning techniques and data for stock market forecasting: A literature review within Machine Learning for Stock Prediction.,high citation signal (456); influential citation signal (12); recognized finance/AI venue; open-access PDF metadata,"Predictive accuracy may not translate into risk-adjusted returns after costs.; Feature leakage, survivorship bias, and nonstationarity are persistent concerns.; Metadata-driven screening cannot audit the exact train/test split.",https://doi.org/10.1016/j.eswa.2022.116659,https://www.semanticscholar.org/paper/d47cfd72f79217cd1226e81e8f2c84019f7ab4d2,https://doi.org/10.1016/j.eswa.2022.116659,,10.1016/j.eswa.2022.116659,,,247003373,Business; Computer Science,JournalArticle; Review,machine learning stock market,1,citations=456; influential=12; recognized finance/AI venue; survey/benchmark signal; AI/ML method signal; open PDF metadata; title trade matches=3; trade term matches=3,
672,6,6,2022,Financial time series forecasting with multi-modality graph neural network,"Dawei Cheng, Fangzhou Yang, Sheng Xiang, Jin Liu",Pattern Recognition,,371,6,171.458,Deep Learning and Financial Time Series,deep-learning,deep-learning; ai-based-trade,Positions Financial time series forecasting with multi-modality graph neural network within Deep Learning and Financial Time Series.,high citation signal (371),"Deep models can overfit noisy, nonstationary, and low signal-to-noise market data.; Compute-heavy models may be hard to reproduce without code and data access.; Reported gains need robustness checks across regimes and markets.",https://doi.org/10.1016/j.patcog.2021.108218,https://www.semanticscholar.org/paper/9c909cffe92d4e076d19cb07593360fd99fbcebe,,,10.1016/j.patcog.2021.108218,,,238232840,Business; Computer Science,JournalArticle,financial time series forecasting,1,citations=371; influential=6; AI/ML method signal; open PDF metadata; title trade matches=3; trade term matches=3,
702,7,7,2022,Climate Change Concerns and the Performance of Green vs. Brown Stocks,"David Ardia, Keven Bluteau, Kris Boudt, Koen Inghelbrecht",Management Sciences,2022-12-16,360,12,186.465,"Sentiment, News, and Alternative Data",forecasting; sentiment/text; risk/volatility,stock-prediction; sentiment-altdata; risk-volatility,We empirically test the prediction of Pástor et al.,high citation signal (360); influential citation signal (12); recognized finance/AI venue; open-access PDF metadata,Timestamp alignment and look-ahead bias are critical for text and alternative-data studies.; Sentiment signals can decay quickly as information becomes crowded.; Data licensing and coverage bias can limit reproducibility.,https://doi.org/10.1287/mnsc.2022.4636,https://www.semanticscholar.org/paper/cf5708c7987c1b38bc7c5053b9d6094dec57834a,https://biblio.ugent.be/publication/01GP0JMT6Y5X3CMKBEGN69SWXQ/file/01HNA8B1R6T1VRJWSREHB3VECW.pdf,,10.1287/mnsc.2022.4636,,,266726473,Business; Computer Science; Environmental Science,JournalArticle,stock price prediction; stock returns,2,citations=360; influential=12; recognized finance/AI venue; investment validation signal; open PDF metadata; trade term matches=3; query hits=2,"We empirically test the prediction of Pástor et al. (2021) that green firms outperform brown firms when concerns about climate change increase unexpectedly, using data for S&P 500 companies from January 2010 to June 2018. To capture unexpected increases in climate change concerns, we construct a daily Media Climate Change Concerns index using news about climate change published by major U.S. newspapers and newswires. We find that on days with an unexpected increase in climate change concerns, the green firms’ stock prices tend to increase, whereas brown firms’ prices decrease. Furthermore, using topic modeling, we conclude that this effect holds for concerns about both transition and physical climate change risk. Finally, we decompose returns into cash flow and discount rate news components and find that an unexpected increase in climate change concerns is associated with an increase (decrease) in the discount rate of brown (green) firms. This paper was accepted by George Serafeim, business and climate change. Funding: This work was supported by the National Bank of Belgium, Research Foundation Flanders (FWO), Institut de Valorisation des Données (IVADO), the Natural Sciences and Engineering Research Council of Canada [Grant RGPIN-2022-03767], and Schweizerischer Nationalfonds zur Förderung der Wissenschaftlichen Forschung [Grants 179281, 191730]. Supplemental Material: The data files and online appendix are available at https://doi.org/10.1287/mnsc.2022.4636 ."
917,8,8,2022,Stock market index prediction using deep Transformer model,"Chaojie Wang, Yuanyuan Chen, Shuqin Zhang, Qiuhui Zhang",Expert systems with applications,2022-07-01,302,8,180.463,Deep Learning and Financial Time Series,forecasting; deep-learning,stock-prediction; deep-learning; ai-based-trade,Positions Stock market index prediction using deep Transformer model within Deep Learning and Financial Time Series.,high citation signal (302); recognized finance/AI venue,"Deep models can overfit noisy, nonstationary, and low signal-to-noise market data.; Compute-heavy models may be hard to reproduce without code and data access.; Reported gains need robustness checks across regimes and markets.",https://doi.org/10.1016/j.eswa.2022.118128,https://www.semanticscholar.org/paper/27a7d6f2830449d1b23e262c5553be95a3df373b,,,10.1016/j.eswa.2022.118128,,,250565991,Computer Science,JournalArticle,stock market prediction,1,citations=302; influential=8; recognized finance/AI venue; AI/ML method signal; open PDF metadata; title trade matches=3; trade term matches=3,
982,9,9,2022,Attention‐Induced Trading and Returns: Evidence from Robinhood Users,"B. Barber, Xing Huang, T. Odean, Christopher Schwarz",Journal of Finance,2022-09-30,284,19,182.295,Deep Learning and Financial Time Series,forecasting; deep-learning,stock-prediction; deep-learning; behavioral-finance,We study the influence of financial innovation by fintech brokerages on individual investors’ trading and stock prices.,high citation signal (284); influential citation signal (19); recognized finance/AI venue,"Deep models can overfit noisy, nonstationary, and low signal-to-noise market data.; Compute-heavy models may be hard to reproduce without code and data access.; Reported gains need robustness checks across regimes and markets.",https://doi.org/10.1111/jofi.13183,https://www.semanticscholar.org/paper/7e0283e1a08329b4f350f81dafe2b125b0f29d84,,,10.1111/jofi.13183,,,226362643,Business; Computer Science; Economics,,stock returns,1,citations=284; influential=19; recognized finance/AI venue; open PDF metadata; title trade matches=1; trade term matches=3,"We study the influence of financial innovation by fintech brokerages on individual investors’ trading and stock prices. Using data from Robinhood, we find that Robinhood investors engage in more attentioninduced trading than other retail investors, and Robinhood outages disproportionately reduce trading in high-attention stocks. The evidence is consistent with Robinhood attracting relatively inexperienced investors. However, we show that it can also be partially driven by the app’s unique features. Consistent with models of attention-induced trading, intense buying by Robinhood users forecast negative returns. Average 20-day abnormal returns are -4.7% (-19.6%) for the top stocks purchased each day (extreme herding events)."
1265,10,10,2022,Testing the safe-haven properties of gold and bitcoin in the backdrop of COVID-19: A wavelet quantile correlation approach,"Anoop S. Kumar, Steven Raj Padakandla",Finance Research Letters,2022-01-01,240,13,159.612,"General Finance, Surveys, and Trading Systems",metadata-ranked,stock-prediction,We test the suitability of Gold and Bitcoin as safe-haven instruments in the backdrop of the Covid-19 related equity market meltdown by implementing the newly proposed Wavelet Quantile Correlation.,high citation signal (240); influential citation signal (13); open-access PDF metadata,"Surveys and systems can dominate citations while empirical evidence remains mixed across markets.; Broad claims need careful mapping to data, costs, and investment horizons.; Metadata-driven ranking cannot replace expert reading of full papers and backtests.",https://doi.org/10.1016/j.frl.2022.102707,https://www.semanticscholar.org/paper/5118ac45ab079ef672a248850011fe9922f7e3ff,https://doi.org/10.1016/j.frl.2022.102707,,10.1016/j.frl.2022.102707,,35125976,246412256,Economics; Medicine,JournalArticle,equity returns,1,citations=240; influential=13; open PDF metadata; trade term matches=1,"We test the suitability of Gold and Bitcoin as safe-haven instruments in the backdrop of the Covid-19 related equity market meltdown by implementing the newly proposed Wavelet Quantile Correlation. We employ daily returns of Bitcoin, Gold, DJIA, CAC40, NSE50, S&P 500, NASDAQ, and EUROSTOXX from 05–01–2015 to 31–12–2020. Our results show that Gold consistently exhibits safe haven properties for all the markets except NSE in the long and short run, while Bitcoin provided mixed results. We find that Gold can act as an effective hedge and diversifier as well."
