candidateRank,year,title,authors,venue,publicationDate,citationCount,influentialCitationCount,importanceScore,category,methodTags,keywordTags,keyIdea,strengths,limitations,url,semanticScholarUrl,openAccessPdf,githubUrl,doi,arxiv,pubmed,corpusId,fieldsOfStudy,publicationTypes,sourceQueries,queryHitCount,importanceReasons,abstract
1,2017,Arbitrary Style Transfer in Real-Time with Adaptive Instance Normalization,"Xun Huang, Serge J. Belongie",IEEE International Conference on Computer Vision,2017-03-20,5283,732,286.954,Deep Learning and Financial Time Series,deep-learning,deep-learning,"Gatys et al. recently introduced a neural algorithm that renders a content image in the style of another image, achieving so-called style transfer.","high citation signal (5,283); influential citation signal (732); open-access PDF metadata","Deep models can overfit noisy, nonstationary, and low signal-to-noise market data.; Compute-heavy models may be hard to reproduce without code and data access.; Reported gains need robustness checks across regimes and markets.",https://doi.org/10.1109/ICCV.2017.167,https://www.semanticscholar.org/paper/be0ef77fb0345c5851bb5d297f3ed84ae3c581ee,https://arxiv.org/pdf/1703.06868,,10.1109/ICCV.2017.167,1703.06868,,6576859,Computer Science,JournalArticle; Conference,algorithmic trading,1,citations=5283; influential=732; AI/ML method signal; open PDF metadata; trade term matches=1,"Gatys et al. recently introduced a neural algorithm that renders a content image in the style of another image, achieving so-called style transfer. However, their framework requires a slow iterative optimization process, which limits its practical application. Fast approximations with feed-forward neural networks have been proposed to speed up neural style transfer. Unfortunately, the speed improvement comes at a cost: the network is usually tied to a fixed set of styles and cannot adapt to arbitrary new styles. In this paper, we present a simple yet effective approach that for the first time enables arbitrary style transfer in real-time. At the heart of our method is a novel adaptive instance normalization (AdaIN) layer that aligns the mean and variance of the content features with those of the style features. Our method achieves speed comparable to the fastest existing approach, without the restriction to a pre-defined set of styles. In addition, our approach allows flexible user controls such as content-style trade-off, style interpolation, color & spatial controls, all using a single feed-forward neural network."
2,2017,Deep learning with long short-term memory networks for financial market predictions,"Thomas G. Fischer, C. Krauss",European Journal of Operational Research,2017-12-01,2415,137,266.359,"Risk, Volatility, and Forecast Evaluation",forecasting; machine-learning; deep-learning; risk/volatility,machine-learning; deep-learning; ai-based-trade; risk-volatility,Long short-term memory (LSTM) networks are a state-of-the-art technique for sequence learning.,"high citation signal (2,415); influential citation signal (137); open-access PDF metadata",Risk forecasts can fail under regime breaks and extreme events.; Choice of loss function strongly affects model rankings.; Citation counts do not prove suitability for a specific mandate or risk budget.,https://doi.org/10.1016/j.ejor.2017.11.054,https://www.semanticscholar.org/paper/701e59358fda0d865d7b26cd954a93a5ad20fd13,https://www.econstor.eu/bitstream/10419/157808/1/886576210.pdf,,10.1016/j.ejor.2017.11.054,,,207640363,Business; Computer Science; Economics,JournalArticle,financial market prediction,1,citations=2415; influential=137; survey/benchmark signal; investment validation signal; AI/ML method signal; open PDF metadata; title trade matches=2; trade term matches=7,"Long short-term memory (LSTM) networks are a state-of-the-art technique for sequence learning. They are less commonly applied to financial time series predictions, yet inherently suitable for this domain. We deploy LSTM networks for predicting out-of-sample directional movements for the constituent stocks of the S&P 500 from 1992 until 2015. With daily returns of 0.46 percent and a Sharpe ratio of 5.8 prior to transaction costs, we find LSTM networks to outperform memory-free classification methods, i.e., a random forest (RAF), a deep neural net (DNN), and a logistic regression classifier (LOG). The outperformance relative to the general market is very clear from 1992 to 2009, but as of 2010, excess returns seem to have been arbitraged away with LSTM profitability fluctuating around zero after transaction costs. We further unveil sources of profitability, thereby shedding light into the black box of artificial neural networks. Specifically, we find one common pattern among the stocks selected for trading – they exhibit high volatility and a short-term reversal return profile. Leveraging these findings, we are able to formalize a rules-based short-term reversal strategy that yields 0.23 percent prior to transaction costs. Further regression analysis unveils low exposure of the LSTM returns to common sources of systematic risk – also compared to the three benchmark models."
3,2017,Automated Identification of Diabetic Retinopathy Using Deep Learning.,"Rishab Gargeya, T. Leng","Ophthalmology (Rochester, Minn.)",2017-07-01,1219,47,218.542,Deep Learning and Financial Time Series,deep-learning,deep-learning,Positions Automated Identification of Diabetic Retinopathy Using Deep Learning. within Deep Learning and Financial Time Series.,"high citation signal (1,219); influential citation signal (47)","Deep models can overfit noisy, nonstationary, and low signal-to-noise market data.; Compute-heavy models may be hard to reproduce without code and data access.; Reported gains need robustness checks across regimes and markets.",https://doi.org/10.1016/j.ophtha.2017.02.008,https://www.semanticscholar.org/paper/5cdfbb95a0ff42171b03493f5c59772b47ef3385,,,10.1016/j.ophtha.2017.02.008,,28359545,5156963,Computer Science; Medicine,JournalArticle; Review,algorithmic trading,1,citations=1219; influential=47; AI/ML method signal; open PDF metadata; title trade matches=1; trade term matches=1,
4,2017,A deep learning framework for financial time series using stacked autoencoders and long-short term memory,"Wei Bao, Jun Yue, Yulei Rao",PLoS ONE,2017-07-14,1004,46,219.982,Deep Learning and Financial Time Series,forecasting; deep-learning,stock-prediction; deep-learning; ai-based-trade; behavioral-finance,The application of deep learning approaches to finance has received a great deal of attention from both investors and researchers.,"high citation signal (1,004); influential citation signal (46); open-access PDF metadata","Deep models can overfit noisy, nonstationary, and low signal-to-noise market data.; Compute-heavy models may be hard to reproduce without code and data access.; Reported gains need robustness checks across regimes and markets.",https://doi.org/10.1371/journal.pone.0180944,https://www.semanticscholar.org/paper/8718f7463b65147431872def16ddd2f08059fa23,https://journals.plos.org/plosone/article/file?id=10.1371/journal.pone.0180944&type=printable,,10.1371/journal.pone.0180944,,28708865,37606221,Business; Computer Science; Medicine,JournalArticle,financial time series forecasting,1,citations=1004; influential=46; AI/ML method signal; open PDF metadata; title trade matches=2; trade term matches=5,"The application of deep learning approaches to finance has received a great deal of attention from both investors and researchers. This study presents a novel deep learning framework where wavelet transforms (WT), stacked autoencoders (SAEs) and long-short term memory (LSTM) are combined for stock price forecasting. The SAEs for hierarchically extracted deep features is introduced into stock price forecasting for the first time. The deep learning framework comprises three stages. First, the stock price time series is decomposed by WT to eliminate noise. Second, SAEs is applied to generate deep high-level features for predicting the stock price. Third, high-level denoising features are fed into LSTM to forecast the next day’s closing price. Six market indices and their corresponding index futures are chosen to examine the performance of the proposed model. Results show that the proposed model outperforms other similar models in both predictive accuracy and profitability performance."
5,2017,China's manufacturing locus in 2025: With a comparison of “Made-in-China 2025” and “Industry 4.0”,L. Li,Technological forecasting & social change,2017-08-01,926,75,212.933,"General Finance, Surveys, and Trading Systems",metadata-ranked,stock-prediction,"In this study, we have compared Germany's “Industry 4.0” and China's “Made-in-China 2025” and estimated China's locus in “Made-in-China 2025”.",high citation signal (926); influential citation signal (75),"Surveys and systems can dominate citations while empirical evidence remains mixed across markets.; Broad claims need careful mapping to data, costs, and investment horizons.; Metadata-driven ranking cannot replace expert reading of full papers and backtests.",https://doi.org/10.1016/J.TECHFORE.2017.05.028,https://www.semanticscholar.org/paper/a880b21c59deec88d1ead26f7f0571f7fac60c5d,,,10.1016/J.TECHFORE.2017.05.028,,,158629385,Business; Economics; Engineering,,capital markets investment,1,citations=926; influential=75; open PDF metadata; trade term matches=1,"In this study, we have compared Germany's “Industry 4.0” and China's “Made-in-China 2025” and estimated China's locus in “Made-in-China 2025”. “Made-in-China 2025” has clear goals, measures and sector focus. Its guiding principles are to enhance industrial capability through innovation-driven manufacturing, optimize the structure of Chinese industry, emphasize quality over quantity, train and attract talent, and achieve green manufacturing and environment. Data show that currently China is no longer the lowest–cost labor market; it is being squeezed by newly emerging low-cost producers such as Vietnam, Cambodia, and Laos. Meanwhile, China is not the strongest player in the high-tech arena; well-established industrialized nations, the US, Germany, and Japan, have all effectively deployed digital technology to create new industrial environments, produce new products, and improve their well-established brands. Having analyzed the data from the World Bank and China's National Bureau of Statistics, we find an upward trajectory in China in manufacturing capability development, research and development commitment, and human capital investment. However, implementing an ambitious strategic plan such as “Made-in-China 2025” is coupled with challenges. This research helps us understand the relationship between technological entrepreneurship and socio-economic changes in emerging economies such as China. Furthermore, the experience accumulated in China can be referenced by both emerging economies and developed nations to advance their technological entrepreneurship."
6,2017,"Stock price prediction using LSTM, RNN and CNN-sliding window model","Sreelekshmy Selvin, R. Vinayakumar, E. Gopalakrishnan, V. Menon, Kritik Soman","International Conference on Advances in Computing, Communications and Informatics",2017-09-01,855,25,210.163,Deep Learning and Financial Time Series,forecasting; deep-learning,stock-prediction; deep-learning; ai-based-trade,"Positions Stock price prediction using LSTM, RNN and CNN-sliding window model within Deep Learning and Financial Time Series.",high citation signal (855); influential citation signal (25),"Deep models can overfit noisy, nonstationary, and low signal-to-noise market data.; Compute-heavy models may be hard to reproduce without code and data access.; Reported gains need robustness checks across regimes and markets.",https://doi.org/10.1109/ICACCI.2017.8126078,https://www.semanticscholar.org/paper/64ca5f3e4fa2d33ae860bebaea81420fae0759af,,,10.1109/ICACCI.2017.8126078,,,24976744,Business; Computer Science,JournalArticle; Conference,deep learning stock prediction; equity market forecasting; neural networks stock market; stock market prediction; stock price prediction; value investing stock market,6,citations=855; influential=25; open PDF metadata; title trade matches=3; trade term matches=3; query hits=6,
7,2017,Does policy uncertainty affect mergers and acquisitions?,"A. Bonaimé, Huseyin Gulen, Mihai Ion",Journal of Financial Economics,2017-05-30,831,37,217.851,Reinforcement Learning and Algorithmic Trading,reinforcement-learning; risk/volatility,reinforcement-trading; risk-volatility,"Using a recently developed measure of political and regulatory uncertainty, we document that policy uncertainty is strongly negatively associated with merger and acquisition activity at the macro and firm levels.",high citation signal (831); influential citation signal (37); recognized finance/AI venue,"Simulated rewards can diverge from executable trading under slippage, latency, and market impact.; Policies can be brittle during regime shifts or stress periods.; Backtest-only evidence needs live or paper-trading validation.",https://doi.org/10.2139/SSRN.2813466,https://www.semanticscholar.org/paper/54a118fc1e7113ad4cd5942e85efcd0715199059,,,10.2139/SSRN.2813466,,,157764993,Business; Economics; Political Science,,stock returns,1,citations=831; influential=37; recognized finance/AI venue; investment validation signal; open PDF metadata; trade term matches=3,"Using a recently developed measure of political and regulatory uncertainty, we document that policy uncertainty is strongly negatively associated with merger and acquisition activity at the macro and firm levels. Increases in policy uncertainty are associated with significant declines in aggregate deal volume and value, and in the likelihood of merger waves. Further, a one standard deviation increase in policy uncertainty is associated with an 8.9% decrease in acquisition likelihood (relative to the unconditional mean) during the following year. The effect of policy uncertainty varies in the cross section, with stronger effects if the target represents a less reversible investment, faces similar policy risk exposure, or if the acquirer's product demand or stock returns exhibit greater policy uncertainty sensitivity. The effect is attenuated for deals that cannot be delayed or result in vertical integration. To alleviate endogeneity concerns stemming from an omitted variable bias, we control for a wide array of proxies for overall economic conditions, potential valuation waves, and other sources of uncertainty and employ an instrumental variables approach."
8,2017,Financial Distress Prediction in an International Context: A Review and Empirical Analysis of Altman's Z‐Score Model,"Edward I. Altman, Małgorzata Iwanicz-Drozdowska, E. Laitinen, Arto Suvas",,2017-06-01,821,81,218.352,"General Finance, Surveys, and Trading Systems",survey/review; forecasting,stock-prediction,"Positions Financial Distress Prediction in an International Context: A Review and Empirical Analysis of Altman's Z‐Score Model within General Finance, Surveys, and Trading Systems.",high citation signal (821); influential citation signal (81),"Surveys and systems can dominate citations while empirical evidence remains mixed across markets.; Broad claims need careful mapping to data, costs, and investment horizons.; Metadata-driven ranking cannot replace expert reading of full papers and backtests.",https://doi.org/10.1111/JIFM.12053,https://www.semanticscholar.org/paper/d2985db06922a268dbefaf9c003da119f87ab415,,,10.1111/JIFM.12053,,,155302026,Business; Economics,Review,financial market prediction,1,citations=821; influential=81; survey/benchmark signal; open PDF metadata; title trade matches=1; trade term matches=1,
9,2017,Stock market's price movement prediction with LSTM neural networks,"David M. Q. Nelson, A. Pereira, Renato A. de Oliveira",IEEE International Joint Conference on Neural Network,2017-05-14,806,43,222.232,Deep Learning and Financial Time Series,forecasting; deep-learning,stock-prediction; deep-learning; ai-based-trade,Positions Stock market's price movement prediction with LSTM neural networks within Deep Learning and Financial Time Series.,high citation signal (806); influential citation signal (43),"Deep models can overfit noisy, nonstationary, and low signal-to-noise market data.; Compute-heavy models may be hard to reproduce without code and data access.; Reported gains need robustness checks across regimes and markets.",https://doi.org/10.1109/IJCNN.2017.7966019,https://www.semanticscholar.org/paper/0ea2f1f5c470c4947b48bbd21245fb327282f3b4,,,10.1109/IJCNN.2017.7966019,,,206919491,Business; Computer Science,JournalArticle; Conference,machine learning stock market; neural networks stock market; stock market prediction; stock price prediction; technical analysis stock market,5,citations=806; influential=43; AI/ML method signal; open PDF metadata; title trade matches=4; trade term matches=4; query hits=5,
10,2017,Deep Direct Reinforcement Learning for Financial Signal Representation and Trading,"Yue Deng, Feng Bao, Youyong Kong, Zhiquan Ren, Qionghai Dai",IEEE Transactions on Neural Networks and Learning Systems,2017-03-01,784,38,221.935,Reinforcement Learning and Algorithmic Trading,deep-learning; reinforcement-learning,reinforcement-trading,Positions Deep Direct Reinforcement Learning for Financial Signal Representation and Trading within Reinforcement Learning and Algorithmic Trading.,high citation signal (784); influential citation signal (38); recognized finance/AI venue,"Simulated rewards can diverge from executable trading under slippage, latency, and market impact.; Policies can be brittle during regime shifts or stress periods.; Backtest-only evidence needs live or paper-trading validation.",https://doi.org/10.1109/TNNLS.2016.2522401,https://www.semanticscholar.org/paper/f96478d0694f18384934fc19a2655170f32e2d8c,,,10.1109/TNNLS.2016.2522401,,26890927,9398383,Computer Science; Medicine,JournalArticle,neural networks stock market; reinforcement learning trading,2,citations=784; influential=38; recognized finance/AI venue; AI/ML method signal; open PDF metadata; title trade matches=2; trade term matches=3; query hits=2,
